,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
128,War,Philip G. Atwell,"['Steve Chasman', 'Christopher Petzel', 'Jim Thompson']","['Jet Li', 'Jason Statham', 'John Lone', 'Devon Aoki', 'Luis Guzmán', 'Saul Rubinek', 'Ryo Ishibashi', 'Sung Kang', 'Mathew St. Patrick', 'Nadine Velazquez']",Pierre Morel,Scott Richter,Brian Tyler,"['Lionsgate', 'Fierce Entertainment', 'Mosaic Media Group']",Lionsgate,2007-08-24,103.0,,25000000.0,40700000.0,United States,"['Lee Anthony Smith', 'Gregory J. Bradley']"
129,To Rob a Thief,Joe Menendez,"['Roni Eguia Menendez', 'James M. McNamara', 'Ben Odell']","['Fernando Colunga', 'Miguel Varoni', 'Julie Gonzalo', 'Gabriel Soto', 'Ivonne Montero', 'Sonya Smith', 'Saul Lisazo', 'Ruben Garfias', 'Oscar Torre', 'JoJo Henrickson']",Adam Silver,Joe Menendez,Andres Levin,"['Panamax Films', 'Narrow Bridge Films']",Lionsgate,2007-08-31,98.0,,1200000.0,6875089.0,United States,JoJo Henrickson
130,3:10 to Yuma,James Mangold,Cathy Konrad,"['Russell Crowe', 'Christian Bale', 'Peter Fonda', 'Gretchen Mol', 'Ben Foster', 'Dallas Roberts', 'Alan Tudyk', 'Vinessa Shaw', 'Logan Lerman']",Phedon Papamichael,Michael McCusker,Marco Beltrami,"['Relativity Media', 'Tree Line Film']",Lionsgate,2007-08-21,122.0,English,48000000.0,71200000.0,United States,
131,Fierce People,Griffin Dunne,"['Griffin Dunne', 'Nick Wechsler', 'Dirk Wittenborn']","['Diane Lane', 'Donald Sutherland', 'Anton Yelchin', 'Chris Evans', 'Kristen Stewart']",William Rexer,Allyson C. Johnson,Nick Laird-Clowes,,"['Lions Gate Films', 'Autonomous Films']",2005-04-24,107.0,,,269755.0,,
132,Good Luck Chuck,Mark Helfrich,Mike Karz,"['Dane Cook', 'Jessica Alba', 'Dan Fogler']",Anthony B. Richmond,Julia Wong,Aaron Zigman,,Lionsgate,2007-09-21,100.0,English,25000000.0,59800000.0,United States,Josh Stolberg
133,Trade,Marco Kreuzpaintner,"['Roland Emmerich', 'Rosilyn Heller']","['Kevin Kline', 'Cesar Ramos', 'Paulina Gaitán', 'Alicja Bachleda']",Daniel Gottschalk,Hansjörg Weißbrich,"['Leonardo Heiblum', 'Jacabo Lieberman']","['Centropolis Entertainment', 'VIP Medienfonds']","['Roadside Attractions', 'Lionsgate', '(United States)', '20th Century Fox', '(Germany)']",2007-09-28,120.0,,,1455890.0,,
134,Why Did I Get Married?,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Tyler Perry', 'Janet Jackson', 'Jill Scott', 'Malik Yoba', 'Richard T. Jones', 'Michael Jai White', 'Lamman Rucker', 'Sharon Leal', 'Tasha Smith', 'Denise Boutte']",Toyomichi Kurita,Maysie Hoy,Aaron Zigman,"['Tyler Perry Studios', 'Reuben Cannon Productions']",Lionsgate,2007-10-12,113.0,English,,55900000.0,United States,Tyler Perry
135,Saw IV,Darren Lynn Bousman,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Tobin Bell', 'Scott Patterson', 'Costas Mandylor', 'Betsy Russell', 'Lyriq Bent']",David A. Armstrong,"['Kevin Greutert', 'Brett Sullivan']",Charlie Clouser,,Lionsgate,2007-10-26,92.0,English,10000000.0,139400000.0,,
136,Rambo,Sylvester Stallone,"['Avi Lerner', 'Kevin King Templeton', 'John Thompson']","['Sylvester Stallone', 'Julie Benz', 'Paul Schulze', 'Matthew Marsden', 'Graham McTavish', 'Rey Gallegos', 'Tim Kang', 'Jake La Botz', 'Maung Maung Khin', 'Ken Howard']",Glen MacPherson,Sean Albertson,Brian Tyler,"['Nu Image', 'Equity Pictures Medienfonds GmbH & Co. KG IV']","['Lionsgate', 'The Weinstein Company']",2008-01-25,91.0,English,50000000.0,113200000.0,United States,"['Art Monterastelli', 'Sylvester Stallone']"
137,The Eye,"['David Moreau', 'Xavier Palud']","['Paula Wagner', 'Don Granger']","['Jessica Alba', 'Alessandro Nivola', 'Parker Posey', 'Rade Šerbedžija']",Jeffrey Jur,Patrick Lussier,Marco Beltrami,"['Cruise/Wagner Productions', 'Vertigo Entertainment']","['Paramount Vantage', 'Lionsgate']",2008-02-01,98.0,English,12000000.0,56960000.0,United States,
138,Chaos,Herman Yau,Teddy Chan,"['Gordon Lam', 'Andrew Lin', 'Kristal Tin', 'Charmaine Fong']",Ngai Man-yin,Yau Chi-wai,Patrick Lo,"['Fortune Star Entertainment', 'Sum-Wood Productions']",Fortune Star Entertainment,2008-09-15,90.0,Cantonese,,,Hong Kong,Lau Ho-leung
139,Witless Protection,Charles Robert Carner,"['J.P. Williams', 'Alan C. Blomquist']","['Larry the Cable Guy', 'Ivana Miličević', 'Yaphet Kotto', 'Peter Stormare', 'Eric Roberts', 'Joe Mantegna', 'Jenny McCarthy']",Michael Goi,Marc Leif,Eric Allaman,"['Samwilla', 'Shaler Entertainment', 'Parallel Entertainment']",Lionsgate,2008-02-22,99.0,English,7500000.0,4161625.0,United States,
140,The Bank Job,Roger Donaldson,"['Charles Roven', 'Steven Chasman']",['Jason Statham'],Michael Coulter,John Gilbert,J. Peter Robinson,"['Mosaic Media Group', 'Relativity Media LLC', 'Skyline (Baker St.) Productions']","['Lionsgate (United States and United Kingdom)', 'Paramount Pictures (Australia)']",2008-02-19,112.0,English,20000000.0,66099999.99999999,,"['Dick Clement', 'Ian La Frenais']"
141,Meet the Browns,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Angela Bassett', 'Rick Fox', 'Margaret Avery', 'Frankie Faison', 'Jenifer Lewis', 'Lance Gross', 'Sofía Vergara', 'Lamman Rucker', 'Tamela Mann', 'David Mann', 'Tyler Perry']",Sandi Sissel,Maysie Hoy,Aaron Zigman,,Lionsgate,2008-03-21,108.0,English,20000000.0,42000000.0,United States,Tyler Perry
142,The Forbidden Kingdom,Rob Minkoff,Casey Silver,"['Jackie Chan', 'Jet Li', 'Collin Chou', 'Liu Yifei', 'Li Bingbing', 'Michael Angarano']",Peter Pau,Eric Strand,David Buckley,"['Casey Silver Productions', 'Huayi Brothers', 'Relativity Media']","['Lionsgate', 'The Weinstein Company (United States)', 'Huaxia Film Distribution (China)']",2008-04-18,104.0,,55000000.0,128000000.0,,John Fusco
143,The Midnight Meat Train,Ryuhei Kitamura,"['Clive Barker', 'Jorge Saralegui', 'Eric Reid', 'Richard Wright', 'Tom Rosenberg', 'Gary Lucchesi']","['Bradley Cooper', 'Leslie Bibb', 'Brooke Shields', 'Roger Bart', 'Ted Raimi', 'Vinnie Jones', 'Peter Jacobson']",Jonathan Sela,Toby Yates,"['Robb Williamson', 'Johannes Kobilke']","['Lakeshore Entertainment', 'Lionsgate', 'Midnight Picture Show', 'GreeneStreet Films']","['Lionsgate', 'Lakeshore Entertainment']",2008-07-19,98.0,English,,3500000.0,United States,
144,Death Race,Paul W. S. Anderson,"['Paula Wagner', 'Jeremy Bolt', 'Paul W. S. Anderson']","['Jason Statham', 'Tyrese Gibson', 'Ian McShane', 'Joan Allen']",Scott Kevan,"['Niven Howie', 'David Kern ( add )', 'Dallas Puett ( add )']",Paul Haslinger,"['Relativity Media', 'Impact Pictures', 'Cruise/Wagner Productions']",Universal Pictures,2008-08-22,111.0,English,45000000.0,76000000.0,,
145,Disaster Movie,"['Jason Friedberg', 'Aaron Seltzer']","['Peter Safran', 'Jason Friedberg', 'Aaron Seltzer']","['Matt Lanter', 'Vanessa Minnillo', 'Gary ""G Thang"" Johnson', 'Nicole Parker', 'Crista Flanagan', 'Kim Kardashian', 'Ike Barinholtz', 'Carmen Electra', 'Tony Cox']",Shawn Maurer,Peck Prior,Christopher Lennertz,"['Grosvenor Park', 'The Safran Company', '3 in the Box']",Lionsgate,2008-08-29,87.0,English,20000000.0,34800000.0,United States,"['Jason Friedberg', 'Aaron Seltzer']"
146,Bangkok Dangerous,Pang Brothers,"['Nicolas Cage', 'Norman Golightly', 'William Sherak', 'Jason Shuman']","['Nicolas Cage', 'Charlie Yeung', 'Shahkrit Yamnarm', 'Panward Hemmanee']",Decha Srimantra,"['Mike Jackson', 'Curran Pang']",Brian Tyler,"['Blue Star Entertainment', 'Saturn Films']","['Lionsgate', 'Initial Entertainment Group', 'Virtual Studios']",2008-09-05,100.0,,45000000.0,42500000.0,United States,Pang Brothers
147,The Family That Preys,Tyler Perry,Tyler Perry,"['Alfre Woodard', 'Sanaa Lathan', 'Rockmond Dunbar', 'KaDee Strickland', 'Cole Hauser', 'Robin Givens', 'Taraji P. Henson', 'Tyler Perry', 'Kathy Bates']",Toyomichi Kurita,Maysie Hoy,Aaron Zigman,,Lionsgate,2008-09-12,106.0,English,,37100000.0,United States,Tyler Perry
148,My Best Friend's Girl,Howard Deutch,"['Guymon Casady', 'Adam Herz', 'Doug Johnson', 'Barry Katz', 'Gregory Lessans', 'Josh Shader', 'Brian Volk-Weiss']","['Dane Cook', 'Kate Hudson', 'Jason Biggs', 'Lizzy Caplan', 'Alec Baldwin']",Jack N. Green,Seth Flaum,John Debney,"['Lionsgate', 'Terra Firma Films', 'Management 360', 'Superfinger Entertainment']",Lionsgate,2008-09-19,101.0,English,20000000.0,41600000.0,United States,Jordan Cahan
149,The Lucky Ones,Neil Burger,"['Neil Burger', 'Brian Koppelman', 'David Levien', 'Rick Schwartz']","['Tim Robbins', 'Rachel McAdams', 'Michael Peña']",Declan Quinn,Naomi Geraghty,Rolfe Kent,"['Koppelman & Levien Productions', 'Overnight Productions', 'QED International']","['Lionsgate', 'Roadside Attractions']",2008-09-26,113.0,English,14000000.0,266967.0,United States,"['Neil Burger', 'Dirk Wittenborn']"
150,Religulous,Larry Charles,"['Bill Maher', 'Jonah Smith', 'Palmer West']",Bill Maher,Anthony Hardwick,"['Jeff Groth', 'Christian Kinnard', 'Jeffrey M. Werner']",,,Lionsgate,2008-08-01,96.0,English,2500000.0,13900000.0,United States,Bill Maher
151,W.,Oliver Stone,"['Moritz Borman', 'Jon Kilik', 'Bill Block', 'Paul Hanson', 'Eric Kopeloff']","['Josh Brolin', 'James Cromwell', 'Elizabeth Banks', 'Ellen Burstyn', 'Scott Glenn', 'Thandiwe Newton', 'Jeffrey Wright', 'Ioan Gruffudd', 'Toby Jones']",Phedon Papamichael Jr.,"['Julie Monroe', 'Joe Hutshing', 'Alexis Chavez']",Paul Cantelon,"['Global Entertainment Group', 'QED International', 'Emperor Motion Pictures', 'Millbrook Pictures', 'Onda Entertainment']",Lionsgate,2008-10-16,129.0,English,25100000.0,29500000.0,United States,Stanley Weiser
152,Saw V,David Hackl,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Tobin Bell', 'Costas Mandylor', 'Scott Patterson', 'Betsy Russell', 'Mark Rolston', 'Julie Benz', 'Carlo Rota', 'Meagan Good']",David A. Armstrong,Kevin Greutert,Charlie Clouser,,Lionsgate,2008-10-24,92.0,English,10800000.0,113900000.0,,
153,Repo! The Genetic Opera,Darren Lynn Bousman,"['Daniel Jason Heffner', 'Carl Mazzocone', 'Oren Koules', 'Mark Burg']","['Alexa Vega', 'Paul Sorvino', 'Anthony Head', 'Sarah Brightman', 'Paris Hilton', 'Bill Moseley', 'Ogre', 'Terrance Zdunich']",Joseph White,Harvey Rosenstock,Darren Smith,,Lionsgate,2008-11-07,98.0,English,8500000.0,188126.0,United States,
154,Transporter 3,Olivier Megaton,"['Luc Besson', 'Steve Chasman']","['Jason Statham', 'Natalya Rudakova', 'François Berléand', 'Robert Knepper']",Giovanni Fiore Coltellacci,"['Camille Delamarre', 'Carlo Rizzo']",Alexandre Azaria,"['EuropaCorp', 'TF1 Films Production', 'Grive Productions', 'Apipoulaï Prod.', 'Current Entertainment', 'Canal+', 'CinéCinéma']",EuropaCorp Distribution,2008-11-26,104.0,,,109000000.0,France,"['Luc Besson', 'Robert Mark Kamen']"
155,Punisher: War Zone,Lexi Alexander,Gale Anne Hurd,"['Ray Stevenson', 'Dominic West', 'Julie Benz', 'Colin Salmon', 'Doug Hutchison', 'Dash Mihok', 'Wayne Knight']",Steve Gainer,"['William Yeh', 'Dean Zimmerman']",Michael Wandmacher,"['Lionsgate', 'Valhalla Motion Pictures', 'MHF Zweite Academy Film', 'SGF Entertainment Inc.']","['Marvel Studios', 'Lionsgate', 'Sony Pictures Releasing (International)']",2008-12-05,103.0,English,35000000.0,10100000.0,,"['Nick Santora', 'Art Marcum Matt Holloway']"
156,The Spirit,Frank Miller,"['Deborah Del Prete', 'Gigi Pritzker', 'Michael E. Uslan']","['Gabriel Macht', 'Eva Mendes', 'Sarah Paulson', 'Dan Lauria', 'Paz Vega', 'Scarlett Johansson', 'Samuel L. Jackson']",Bill Pope,Gregory Nussbaum,David Newman,"['OddLot Entertainment', 'DarkLot Entertainment']",Lionsgate,2008-12-25,103.0,English,60000000.0,39000000.0,United States,
157,My Bloody Valentine 3D,Patrick Lussier,Jack Murray,"['Jensen Ackles', 'Jaime King', 'Kerr Smith', 'Edi Gathegi', 'Betsy Rue', 'Megan Boone', 'Tom Atkins', 'Kevin Tighe']",Brian Pearson,"['Patrick Lussier', 'Cynthia Ludwig']",Michael Wandmacher,,Lionsgate,2009-01-16,101.0,English,14000000.0,100700000.0,United States,
158,New in Town,Jonas Elmer,"['Peter Safran', 'Darryl Taja', 'Tracey E. Edmonds', 'Paul Brooks', 'Phyllis Laing', 'Andrew Paquin']","['Renée Zellweger', 'Harry Connick, Jr.', 'J.K. Simmons', 'Frances Conroy', 'Siobhan Fallon Hogan']",Chris Seager,Troy Takaki,John Swihart,"['Gold Circle Films', 'Epidemic Pictures', 'The Safran Company', 'Edmonds Entertainment']","['Lionsgate', '(North America)', 'Mandate Pictures', '(International)']",2009-01-30,97.0,English,8000000.0,30000000.0,,"['C. Jay Cox', 'Ken Rance']"
159,Madea Goes to Jail,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Tyler Perry', 'Derek Luke', 'Keshia Knight Pulliam', 'Ion Overman', 'RonReaco Lee', 'Sofía Vergara', 'Vanessa Ferlito', 'Viola Davis']",Alexander Gruszynski,Maysie Hoy,Aaron Zigman,,Lionsgate,2009-02-20,103.0,English,17500000.0,90500000.0,United States,Tyler Perry
160,Horsemen,Jonas Åkerlund,"['Michael Bay', 'Andrew Form', 'Brad Fuller']","['Dennis Quaid', 'Zhang Ziyi', 'Lou Taylor Pucci', 'Clifton Collins, Jr.', 'Patrick Fugit', 'Peter Stormare']",Eric Broms,"['Jim May', 'Todd E. Miller']",Jan A.P. Kaczmarek,"['Mandate Pictures', 'Platinum Dunes', 'Radar Pictures']",Lionsgate,2009-03-06,91.0,English,,2400000.0,United States,David Callaham
161,Happily N'Ever After 2: Snow White Another Bite @ the Apple,"['Steven E. Gordon', 'Boyd Kirkland']","['Loris Kramer Lunsford', 'Jason Netter', 'Susan Norkin']","['Helen Niedwick', 'Cam Clarke', 'Jim Sullivan', 'Kirk Thornton', 'Cindy Robinson', 'David Lodge', 'Catherine Lavin']",,Ben Edwards,Paul Buckley,"['Kickstart Productions', 'Berlin Animation Film']",Lionsgate Home Entertainment,2008-12-18,75.0,,,2488134.0,,Chris Denk
162,The Haunting in Connecticut,Peter Cornwell,"['Paul Brooks', 'Andrew Trapani', 'Daniel Farrands', 'Wendy Rhoads']","['Virginia Madsen', 'Kyle Gallner', 'Martin Donovan', 'Amanda Crew', 'Elias Koteas']",Adam Swica,Tom Elkins,Robert J. Kral,"['Gold Circle Films', 'Integrated Films']",Lionsgate,2009-03-27,102.0,English,10000000.0,77000000.0,United States,"['Adam Simon', 'Tim Metcalfe']"
163,Crank: High Voltage,Neveldine/Taylor,"['Gary Lucchesi', 'Tom Rosenberg', 'Skip Williamson', 'Richard Wright']","['Jason Statham', 'Amy Smart', 'Clifton Collins Jr.', 'Efren Ramirez', 'Bai Ling', 'David Carradine', 'Dwight Yoakam']",Brandon Trost,Fernando Villena,Mike Patton,"['Lionsgate', 'Lakeshore Entertainment']",Lionsgate,2009-04-15,96.0,English,20000000.0,34600000.0,United States,Neveldine & Taylor
164,Battle for Terra,Aristomenis Tsirbas,"['Ryan Colucci', 'Keith Calder', 'Dane Allan Smith', 'Jessica Wu']","['Evan Rachel Wood', 'Brian Cox', 'James Garner', 'Chris Evans', 'Danny Glover', 'Amanda Peet', 'David Cross', 'Justin Long', 'Dennis Quaid', 'Luke Wilson']",Aristomenis Tsirbas,J. Kathleen Gibson,Abel Korzeniowski,"['Roadside Attractions', 'Snoot Entertainment']",Lionsgate Films,2007-09-08,85.0,English,4000000.0,6100000.0,United States,
165,The Cove,Louie Psihoyos,"['Fisher Stevens', 'Paula DuPre Pesmen', 'Olivia Ahnemann']","[""Ric O'Barry"", 'Hayden Panettiere', 'Scott Baker', 'Isabel Lucas', 'Hardy Jones']",Brook Aitken,Geoffrey Richman,J. Ralph,,"['Lionsgate', 'Roadside Attractions']",2009-07-31,87.0,,,1140043.0,United States,Mark Monroe
166,Gamer,Neveldine/Taylor,"['Tom Rosenberg', 'Gary Lucchesi', 'Skip Williamson', 'Richard Wright']","['Gerard Butler', 'Michael C. Hall', 'Amber Valletta', 'Logan Lerman', 'Terry Crews', 'Chris Ludacris Bridges', 'Kyra Sedgwick']",Ekkehart Pollack,"['Peter Amundson', 'Fernando Villena']","['Robert Williamson', 'Geoff Zanelli']","['Lionsgate', 'Lakeshore Entertainment']",Lionsgate,2009-09-04,94.0,English,50000000.0,42000000.0,United States,Neveldine & Taylor
167,I Can Do Bad All by Myself,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Taraji P. Henson', 'Adam Rodriguez', 'Brian White', 'Mary J. Blige', 'Gladys Knight', 'Marvin L. Winans', 'Tyler Perry']",Alexander Gruszynski,Maysie Hoy,Aaron Zigman,,Lionsgate,2009-09-11,113.0,English,19000000.0,51700000.0,United States,Tyler Perry
168,Cabin Fever 2: Spring Fever,Ti West,"['Lauren Moews', 'Patrick Durham', 'Jonathan Sachar']","['Rider Strong', 'Noah Segan', 'Alexi Wasser', 'Rusty Kelley', 'Marc Senter', 'Giuseppe Andrews']",Eliot Rockett,Janice Hampton,Ryan Shore,"['Tonic Films', 'Morningstar Films', 'Aloe Entertainment', 'Proud Mary Entertainment']",Lionsgate,2009-09-23,86.0,English,,,United States,
169,More than a Game,Kristopher Belman,"['Harvey Mason Jr.', 'Kristopher Belman', 'Kevin Mann']","['LeBron James', 'Dru Joyce III', 'Romeo Travis', 'Sian Cotton', 'Willie McGee', 'Dru Joyce II']",,Scott Balcerek,Harvey Mason Jr.,,Lionsgate,2008-09-06,105.0,English,,960387.0,United States,"['Kristopher Belman', 'Brad Hogan']"
170,Saw VI,Kevin Greutert,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Tobin Bell', 'Costas Mandylor', 'Betsy Russell', 'Mark Rolston', 'Peter Outerbridge', 'Shawnee Smith']",David A. Armstrong,Andrew Coutts,Charlie Clouser,,Lionsgate,2009-10-23,90.0,English,11000000.0,68200000.0,,
171,Precious,Lee Daniels,"['Lee Daniels', 'Gary Magness', 'Sarah Siegel-Magness', 'Oprah Winfrey', 'Tom Heller', 'Tyler Perry', 'Lisa Cortés']","['Gabourey Sidibe', ""Mo'Nique"", 'Paula Patton', 'Mariah Carey', 'Sherri Shepherd', 'Lenny Kravitz']",Andrew Dunn,Joe Klotz,Mario Grigorov,"['Lee Daniels Entertainment', 'Smokewood Entertainment', 'Harpo Films', '34th Street Films']",Lionsgate,2009-01-15,110.0,English,10000000.0,63600000.0,United States,
172,Brothers,Jim Sheridan,"['Michael De Luca', 'Sigurjón Sighvatsson', 'Ryan Kavanaugh']","['Tobey Maguire', 'Jake Gyllenhaal', 'Natalie Portman', 'Sam Shepard', 'Clifton Collins Jr.', 'Mare Winningham']",Frederick Elmes,Jay Cassidy,Thomas Newman,"['Michael De Luca Productions', 'Relativity Media', 'Sighvatsson Films']",Lionsgate,2009-12-04,105.0,,26000000.0,43500000.0,United States,
173,Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']","['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Ben Nott,Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']","['Lionsgate (United States)', 'Hoyts Distribution', '(Australia)']",2009-09-11,98.0,English,20000000.0,51400000.0,,The Spierig Brothers
174,The Spy Next Door,Brian Levant,Robert Simonds,"['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Dean Cundey,Lawrence Jordan,David Newman,,"['Lionsgate', '(United States)', 'Mandate Pictures', '(International)']",2009-12-22,94.0,English,28000000.0,45200000.0,United States,
175,From Paris with Love,Pierre Morel,India Osborne,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']",Michel Abramowicz,Frédéric Thoraval,David Buckley,"['EuropaCorp', 'M6', 'Eclair Films', 'Canal+']",EuropaCorp Distribution,2010-02-05,92.0,,52000000.0,52826594.0,France,
176,Why Did I Get Married Too?,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']","['Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones', 'Tasha Smith', 'Lamman Rucker', 'Michael Jai White', 'Louis Gossett, Jr.', 'Cicely Tyson', 'Tyler Perry']",Toyomichi Kurita,Maysie Hoy,Aaron Zigman,,Lionsgate,2010-04-02,121.0,English,20000000.0,60700000.0,United States,
177,Kick-Ass,Matthew Vaughn,"['Matthew Vaughn', 'Brad Pitt', 'Kris Thykier', 'Adam Bohling', 'Tarquin Pack', 'David Reid']","['Aaron Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Mark Strong', 'Nicolas Cage']",Ben Davis,"['Pietro Scalia', 'Jon Harris', 'Eddie Hamilton']","['John Murphy', 'Henry Jackman', 'Marius de Vries', 'Ilan Eshkeri']","['Marv Films', 'Plan B Entertainment']","['Lionsgate (United States)', 'Focus Features International (Select territories; through Universal Pictures )']",2010-03-12,117.0,English,28000000.0,96200000.0,,
178,The Game,William Dear,"['David Salzberg', 'Mark W Koch', 'Christian Tureaud', 'Jason French']","['Clifton Collins Jr.', 'Cheech Marin', 'Moises Arias', 'Jake T. Austin', 'Ryan Ochoa', 'Carlos Padilla', 'Jansen Panettiere', 'Carlos Gómez', 'Emilie de Ravin']",Bryan F. Greenberg,Chris Conlee,Bill Conti,"['IndustryWorks Pictures', 'HighRoad Entertainment', 'Prelude Pictures', 'Lone Runner Entertainment', 'Independent Producers Alliance']","['Lionsgate', 'Image Entertainment']",2009-03-21,118.0,English,,3878993.0,United States,W. William Winokur
179,Killers,Robert Luketic,"['Scott Aversano', 'Jason Goldberg', 'Mike Karz', 'Ashton Kutcher', 'Chad Marting', 'Christopher S. Pratt', 'Josie Rosen']","['Ashton Kutcher', 'Katherine Heigl', 'Tom Selleck', ""Catherine O'Hara""]",Russell Carpenter,"['Mary Jo Markey', 'Richard Francis-Bruce']",Rolfe Kent,"['Katalyst Media', 'DMG Entertainment']",Lionsgate,2010-06-01,100.0,English,75000000.0,98000000.0,United States,
180,The Expendables,Sylvester Stallone,"['Avi Lerner', 'John Thompson', 'Kevin King-Templeton']","['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Eric Roberts', 'Randy Couture', 'Steve Austin', 'David Zayas', 'Giselle Itié', 'Charisma Carpenter', 'Gary Daniels', 'Terry Crews', 'Mickey Rourke']",Jeffrey Kimball,"['Ken Blackwell', 'Paul Harb']",Brian Tyler,"['Millennium Films', 'Nu Image']",Lionsgate,2010-08-03,103.0,English,80000000.0,274500000.0,United States,
181,The Last Exorcism,Daniel Stamm,"['Eric Newman', 'Eli Roth', 'Marc Abraham', 'Thomas A. Bliss']","['Patrick Fabian', 'Ashley Bell']",Zoltan Honti,Shilpa Sahi,Nathan Barr,"['Strike Entertainment', 'StudioCanal', 'Arcade Pictures']",Lionsgate,2010-06-24,87.0,English,1800000.0,67700000.0,United States,"['Huck Botko', 'Andrew Gurland']"
182,Alpha and Omega,"['Anthony Bell', 'Ben Gluck']","['Richard Rich', 'Ken Katsumoto', 'Steve Moore']","['Justin Long', 'Hayden Panettiere', 'Dennis Hopper', 'Danny Glover', 'Christina Ricci']",,Joseph L. Campana,Chris Bacon,,Lionsgate,2010-09-08,88.0,English,20000000.0,50500000.0,United States,
183,Buried,Rodrigo Cortés,"['Adrian Guerra', 'Peter Safran']",Ryan Reynolds,Eduard Grau,Rodrigo Cortés,Víctor Reyes,"['The Safran Company', 'Versus Entertainment', 'Dark Trick Films', 'Kinology', 'Studio 37']",Warner Bros. Pictures,2010-09-24,95.0,English,2000000.0,21300000.0,Spain,Chris Sparling
184,Saw 3D,Kevin Greutert,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Tobin Bell', 'Costas Mandylor', 'Betsy Russell', 'Sean Patrick Flanery', 'Cary Elwes']",Brian Gedge,Andrew Coutts,Charlie Clouser,,Lionsgate,2010-10-29,90.0,English,20000000.0,136200000.0,United States,"['Patrick Melton', 'Marcus Dunstan']"
185,For Colored Girls,Tyler Perry,Tyler Perry,"['Janet Jackson', 'Loretta Devine', 'Kimberly Elise', 'Thandiwe Newton', 'Anika Noni Rose', 'Tessa Thompson', 'Kerry Washington', 'Whoopi Goldberg']",Alexander Gruszynski,Maysie Hoy,Aaron Zigman,"['34th Street Films', 'Tyler Perry Studios']",Lionsgate,2010-11-05,133.0,English,21000000.0,38000000.0,United States,
186,The Next Three Days,Paul Haggis,"['Michael Nozik', 'Olivier Delbosc', 'Paul Haggis', 'Marc Missonnier']","['Russell Crowe', 'Elizabeth Banks', 'Brian Dennehy', 'Olivia Wilde', 'Ty Simpkins', 'Liam Neeson']",Stéphane Fontaine,Jo Francis,Danny Elfman,"['Lionsgate', 'Highway 61 Films', 'Fidélité Films']",Lionsgate,2010-11-09,133.0,,30000000.0,67400000.0,United States,
187,Rabbit Hole,John Cameron Mitchell,"['Gigi Pritzker', 'Nicole Kidman', 'Per Saari', 'Leslie Urdang', 'Dean Vanech']","['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",Frankie DeMarco,Joe Klotz,Anton Sanko,"['Olympus Pictures', 'Blossom Films', 'OddLot Entertainment']",Lionsgate,2010-09-13,91.0,English,3000000.0,5100000.0,United States,David Lindsay-Abaire
188,From Prada to Nada,Angel Gracia,"['Gigi Pritzker', 'Linda McDonough', 'Rossana Arau', 'Gary Gilbert', 'Lisa Ellzey']","['Camilla Belle', 'Alexa Vega', 'Wilmer Valderrama', ""Nicholas D'Agosto"", 'April Bowlby', 'Kuno Becker', 'Adriana Barraza']",Héctor Ortega,Bradley McLaughlin,Heitor Pereira,"['OddLot Entertainment', 'Gilbert Films', 'Lionsgate', 'Televisa', 'Hyperion Films']",Pantelion Films,2011-01-28,107.0,,,4000000.0,United States,
